Batch ID,Job Order Number,Printing Date/Time,Printer Operator ID,Ink Type,Paper Type,No. of Sheets Used,No. of Cards Printed,No. of Half Cards,No. of Quarter Cards,Accepted Cards,Rejected Cards,Color Matching Data,Quality Control Result (Printing),Printing QC - Alignment,Printing QC - Color Accuracy,Printing QC - Material Integrity,Lamination Date/Time,Lamination Operator ID,Chip Type,Embedding Errors,Chip Serial Numbers,Quality Control Result (Embedding),Embedding QC - Chip Functionality,Embedding QC - Alignment,Network Data,Encryption Key,Laser Engraving Serial,ICCID,Personalization Operator ID,Quality Control Result (Personalization),Personalization QC - Data Accuracy,Personalization QC - Laser Engraving,Audit Trail Logs,PO_number,Printing_Year,Printing_Month,Processing Time (Days),Quality Control Result (Printing)_Binary,Quality Control Result (Embedding)_Binary,Quality Control Result (Personalization)_Binary,Total QC Passes
Batch_15,JO_00015,2022-01-07 19:37:00,Operator_24,Metallic Ink,PVC,19.0,551.0,398.0,153.0,542.0,9.0,Match_Good,Pass,Pass,Fail,Pass,2022-01-15 13:05:00,Operator_77,Type2,1.0,Chip_703026,Pass,Pass,Pass,GSM,Key_3645,Serial_3506,ICCID_208924,Operator_103,Pass,Pass,Pass,Log_45202,PO-0035,2022,1,7,1.0,1,1.0,3.0
Batch_16,JO_00016,2022-01-08 07:19:00,Operator_3,UV Ink,PVC,11.0,314.0,204.0,49.0,201.0,52.0,Match_Good,Pass,Pass,Pass,Fail,2022-01-14 13:23:00,Operator_83,Type3,2.0,Chip_586836,Pass,Pass,Pass,GPRS,Key_5268,Serial_5584,ICCID_754160,Operator_125,Pass,Pass,Pass,Log_91256,PO-0036,2022,1,6,1.0,1,1.0,3.0
Batch_17,JO_00017,2022-01-08 19:00:00,Operator_22,Offset Ink,PET,33.0,1122.0,334.0,547.0,1016.0,106.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-15 04:25:00,Operator_83,Type2,2.0,Chip_485456,Pass,Pass,Pass,UMTS,Key_3827,Serial_2056,ICCID_680795,Operator_127,Pass,Pass,Pass,Log_56837,PO-0037,2022,1,6,1.0,1,1.0,3.0
Batch_18,JO_00018,2022-01-09 06:41:00,Operator_2,Offset Ink,PVC,47.0,1410.0,401.0,547.0,1113.0,647.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-15 15:48:00,Operator_91,Type2,4.0,Chip_352167,Pass,Pass,Pass,UMTS,Key_8368,Serial_3885,ICCID_602517,Operator_127,Pass,Pass,Pass,Log_80808,PO-0038,2022,1,6,1.0,1,1.0,3.0
Batch_19,JO_00019,2022-01-09 18:22:00,Operator_24,UV Ink,PET,37.0,925.0,497.0,547.0,727.0,198.0,Match_Good,Pass,Pass,Fail,Pass,2022-01-18 17:52:00,Operator_70,Type1,0.0,Chip_192856,Pass,Pass,Pass,GPRS,Key_9197,Serial_2801,ICCID_630253,Operator_123,Pass,Pass,Pass,Log_30585,PO-0039,2022,1,8,1.0,1,1.0,3.0
Batch_20,JO_00020,2022-01-10 06:04:00,Operator_44,Offset Ink,PET,37.0,888.0,407.0,481.0,429.0,459.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-13 13:56:00,Operator_63,Type3,0.0,Chip_926468,Pass,Pass,Pass,GSM,Key_4971,Serial_6368,ICCID_195262,Operator_109,Pass,Pass,Pass,Log_29148,PO-0040,2022,1,3,1.0,1,1.0,3.0
Batch_21,JO_00021,2022-01-10 17:45:00,Operator_30,Metallic Ink,PET,48.0,1410.0,289.0,1591.5,840.0,657.625,Match_Fair,Pass,Fail,Pass,Pass,2022-01-15 16:06:00,Operator_61,Type2,1.0,Chip_477432,Pass,Pass,Pass,UMTS,Key_5709,Serial_3003,ICCID_389324,Operator_136,Pass,Pass,Pass,Log_11722,PO-0041,2022,1,4,1.0,1,1.0,3.0
Batch_22,JO_00022,2022-01-11 05:26:00,Operator_38,Offset Ink,PVC,11.0,407.0,351.0,56.0,363.0,44.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-18 08:20:00,Operator_69,Type1,1.0,Chip_152631,Pass,Pass,Pass,UMTS,Key_4961,Serial_6192,ICCID_811881,Operator_111,Pass,Pass,Pass,Log_51283,PO-0042,2022,1,7,1.0,1,1.0,3.0
Batch_23,JO_00023,2022-01-11 17:07:00,Operator_2,Offset Ink,PVC,14.0,314.0,264.0,44.0,252.0,56.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-13 21:33:00,Operator_99,Type2,1.0,Chip_816334,Pass,Pass,Pass,GPRS,Key_4815,Serial_8907,ICCID_142725,Operator_139,Pass,Pass,Pass,Log_87401,PO-0043,2022,1,2,1.0,1,1.0,3.0
Batch_24,JO_00024,2022-01-12 04:49:00,Operator_21,Offset Ink,PVC,20.0,420.0,296.0,547.0,270.0,150.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-16 14:51:00,Operator_82,Type3,0.0,Chip_503431,Pass,Pass,Pass,GPRS,Key_7306,Serial_7125,ICCID_555904,Operator_107,Pass,Pass,Pass,Log_13372,PO-0044,2022,1,4,1.0,1,1.0,3.0
Batch_25,JO_00025,2022-01-12 16:30:00,Operator_33,Metallic Ink,Composite Materials,19.0,437.0,276.0,547.0,355.0,82.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-21 13:02:00,Operator_53,Type3,1.0,Chip_652017,Pass,Pass,Pass,GPRS,Key_2070,Serial_8301,ICCID_123364,Operator_113,Pass,Pass,Pass,Log_32738,PO-0045,2022,1,8,1.0,1,1.0,3.0
Batch_26,JO_00026,2022-01-13 04:11:00,Operator_12,UV Ink,PET,11.0,407.0,249.0,547.0,305.0,102.0,Match_Good,Pass,Pass,Pass,Fail,2022-01-23 01:56:00,Operator_63,Type3,1.0,Chip_774196,Pass,Pass,Pass,GPRS,Key_1116,Serial_3432,ICCID_968943,Operator_107,Pass,Pass,Pass,Log_30585,PO-0046,2022,1,9,1.0,1,1.0,3.0
Batch_27,JO_00027,2022-01-13 15:52:00,Operator_22,Metallic Ink,Composite Materials,24.0,672.0,453.0,547.0,383.0,289.0,Match_Poor,Fail,Pass,Fail,Fail,2022-01-16 17:23:00,Operator_78,Type3,2.0,Chip_936731,Pass,Pass,Pass,UMTS,Key_4346,Serial_7410,ICCID_776883,Operator_142,Pass,Pass,Pass,Log_80299,PO-0047,2022,1,3,0.0,1,1.0,2.0
Batch_28,JO_00028,2022-01-14 03:34:00,Operator_44,UV Ink,PET,48.0,1410.0,367.0,1591.5,1113.0,657.625,Match_Fair,Pass,Pass,Pass,Pass,2022-01-23 05:32:00,Operator_72,Type3,2.0,Chip_366503,Pass,Pass,Pass,UMTS,Key_3330,Serial_4434,ICCID_601679,Operator_147,Pass,Pass,Pass,Log_92956,PO-0048,2022,1,9,1.0,1,1.0,3.0
Batch_29,JO_00029,2022-01-14 15:15:00,Operator_25,UV Ink,PVC,46.0,1334.0,585.0,749.0,790.0,544.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-19 19:19:00,Operator_69,Type3,0.0,Chip_911666,Pass,Pass,Pass,UMTS,Key_9330,Serial_2848,ICCID_867893,Operator_143,Pass,Pass,Pass,Log_24828,PO-0049,2022,1,5,1.0,1,1.0,3.0
Batch_30,JO_00030,2022-01-15 02:56:00,Operator_49,UV Ink,PET,16.0,544.0,389.0,155.0,450.0,94.0,Match_Good,Pass,Pass,Pass,Pass,2022-01-20 01:24:00,Operator_81,Type1,2.0,Chip_623504,Pass,Pass,Pass,UMTS,Key_9517,Serial_7395,ICCID_228935,Operator_113,Pass,Pass,Pass,Log_26352,PO-0050,2022,1,4,1.0,1,1.0,3.0
Batch_31,JO_00031,2022-01-15 14:38:00,Operator_27,Offset Ink,PET,29.0,580.0,564.0,16.0,223.0,357.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-22 13:53:00,Operator_70,Type3,1.0,Chip_549309,Pass,Pass,Pass,UMTS,Key_8354,Serial_4750,ICCID_783472,Operator_106,Pass,Pass,Pass,Log_48852,PO-0051,2022,1,6,1.0,1,1.0,3.0
Batch_32,JO_00032,2022-01-16 02:19:00,Operator_42,Offset Ink,Composite Materials,43.0,1290.0,1107.0,183.0,727.0,563.0,Match_Poor,Pass,Pass,Fail,Pass,2022-01-24 11:50:00,Operator_74,Type2,2.0,Chip_396026,Pass,Pass,Pass,GPRS,Key_1552,Serial_9756,ICCID_989009,Operator_104,Pass,Pass,Pass,Log_75549,PO-0052,2022,1,8,1.0,1,1.0,3.0
Batch_33,JO_00033,2022-01-16 14:00:00,Operator_28,UV Ink,PET,44.0,1410.0,1306.125,108.0,1113.0,81.0,Match_Good,Pass,Pass,Pass,Pass,2022-01-18 19:17:00,Operator_82,Type2,4.0,Chip_584323,Pass,Pass,Pass,UMTS,Key_7171,Serial_5186,ICCID_202321,Operator_143,Pass,Pass,Pass,Log_97624,PO-0053,2022,1,2,1.0,1,1.0,3.0
Batch_34,JO_00034,2022-01-17 01:41:00,Operator_16,UV Ink,PVC,43.0,1247.0,385.0,862.0,614.0,633.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-25 20:53:00,Operator_59,Type2,2.0,Chip_326457,Pass,Pass,Pass,GSM,Key_1574,Serial_9964,ICCID_972200,Operator_125,Pass,Pass,Pass,Log_82643,PO-0054,2022,1,8,1.0,1,1.0,3.0
Batch_35,JO_00035,2022-01-17 13:23:00,Operator_15,Offset Ink,PET,31.0,1178.0,504.0,674.0,209.0,657.625,Match_Fair,Pass,Pass,Pass,Pass,2022-01-20 01:13:00,Operator_69,Type2,0.0,Chip_750131,Pass,Pass,Pass,GPRS,Key_6954,Serial_9549,ICCID_270597,Operator_120,Pass,Pass,Pass,Log_78801,PO-0055,2022,1,2,1.0,1,1.0,3.0
Batch_36,JO_00036,2022-01-18 01:04:00,Operator_47,Metallic Ink,PET,40.0,1400.0,1306.125,46.0,973.0,427.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-27 22:52:00,Operator_73,Type3,1.0,Chip_434195,Pass,Pass,Pass,GPRS,Key_2452,Serial_7407,ICCID_449161,Operator_109,Pass,Pass,Pass,Log_13828,PO-0056,2022,1,9,1.0,1,1.0,3.0
Batch_37,JO_00037,2022-01-18 12:45:00,Operator_44,UV Ink,PET,32.0,864.0,779.0,85.0,776.0,88.0,Match_Poor,Pass,Pass,Pass,Pass,2022-01-26 12:47:00,Operator_75,Type3,1.0,Chip_288776,Pass,Pass,Pass,GPRS,Key_4351,Serial_4528,ICCID_179048,Operator_125,Pass,Pass,Pass,Log_18525,PO-0057,2022,1,8,1.0,1,1.0,3.0
Batch_38,JO_00038,2022-01-19 00:26:00,Operator_3,Metallic Ink,Composite Materials,28.0,1410.0,575.0,1591.5,536.0,657.625,Match_Poor,Pass,Pass,Pass,Pass,2022-01-28 00:19:00,Operator_83,Type1,0.0,Chip_385434,Pass,Pass,Pass,GSM,Key_9639,Serial_2050,ICCID_278510,Operator_137,Pass,Pass,Pass,Log_30483,PO-0058,2022,1,8,1.0,1,1.0,3.0
Batch_39,JO_00039,2022-01-19 12:08:00,Operator_37,Offset Ink,PET,13.0,338.0,326.0,12.0,300.0,38.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-22 17:11:00,Operator_99,Type3,2.0,Chip_278509,Pass,Pass,Pass,UMTS,Key_4406,Serial_9501,ICCID_341843,Operator_109,Pass,Pass,Pass,Log_87228,PO-0059,2022,1,3,1.0,1,1.0,3.0
Batch_40,JO_00040,2022-01-19 23:49:00,Operator_7,UV Ink,PET,33.0,1254.0,331.0,923.0,432.0,657.625,Match_Fair,Pass,Pass,Pass,Pass,2022-01-22 21:52:00,Operator_96,Type2,1.0,Chip_588928,Pass,Pass,Pass,UMTS,Key_1456,Serial_1892,ICCID_180173,Operator_141,Pass,Pass,Pass,Log_72150,PO-0060,2022,1,2,1.0,1,1.0,3.0
Batch_41,JO_00041,2022-01-20 11:30:00,Operator_21,Metallic Ink,Composite Materials,29.0,754.0,211.0,543.0,561.0,193.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-24 08:10:00,Operator_94,Type1,1.0,Chip_824680,Pass,Pass,Pass,GPRS,Key_4366,Serial_9759,ICCID_931565,Operator_144,Pass,Pass,Pass,Log_59331,PO-0021,2022,1,3,1.0,1,1.0,3.0
Batch_42,JO_00042,2022-01-20 23:11:00,Operator_9,Metallic Ink,Composite Materials,48.0,1410.0,1306.125,259.0,916.0,657.625,Match_Good,Pass,Pass,Pass,Pass,2022-01-25 21:48:00,Operator_52,Type1,4.0,Chip_520054,Pass,Pass,Pass,GSM,Key_2580,Serial_1627,ICCID_266536,Operator_119,Pass,Pass,Pass,Log_51923,PO-0022,2022,1,4,1.0,1,1.0,3.0
Batch_43,JO_00043,2022-01-21 10:53:00,Operator_39,Metallic Ink,Composite Materials,37.0,1410.0,472.0,1591.5,598.0,657.625,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-25 13:44:00,Operator_53,Type1,0.0,Chip_994636,Pass,Pass,Pass,GPRS,Key_3513,Serial_2363,ICCID_632896,Operator_112,Pass,Pass,Pass,Log_70015,PO-0023,2022,1,4,1.0,1,1.0,3.0
Batch_44,JO_00044,2022-01-21 22:34:00,Operator_18,Offset Ink,Composite Materials,48.0,1410.0,1306.125,547.0,302.0,657.625,Match_Poor,Pass,Pass,Pass,Pass,2022-01-27 04:18:00,Operator_78,Type1,2.0,Chip_449725,Pass,Pass,Pass,UMTS,Key_7702,Serial_3330,ICCID_776920,Operator_135,Pass,Pass,Pass,Log_86363,PO-0024,2022,1,5,1.0,1,1.0,3.0
Batch_45,JO_00045,2022-01-22 10:15:00,Operator_4,Offset Ink,PVC,26.0,520.0,220.0,547.0,473.0,47.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-31 17:58:00,Operator_87,Type3,2.0,Chip_325204,Pass,Pass,Pass,GPRS,Key_1938,Serial_7161,ICCID_383380,Operator_104,Pass,Pass,Pass,Log_32458,PO-0025,2022,1,9,1.0,1,1.0,3.0
Batch_46,JO_00046,2022-01-22 21:57:00,Operator_25,Metallic Ink,PVC,28.0,896.0,598.0,547.0,864.0,32.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-26 19:01:00,Operator_85,Type1,1.0,Chip_702289,Pass,Pass,Pass,GSM,Key_9313,Serial_5067,ICCID_728478,Operator_119,Pass,Pass,Pass,Log_88864,PO-0026,2022,1,3,1.0,1,1.0,3.0
Batch_47,JO_00047,2022-01-23 09:38:00,Operator_14,Metallic Ink,PET,44.0,968.0,519.0,547.0,322.0,646.0,Match_Poor,Pass,Pass,Pass,Pass,2022-01-29 08:13:00,Operator_64,Type3,3.0,Chip_826461,Pass,Pass,Pass,UMTS,Key_2100,Serial_8566,ICCID_447806,Operator_144,Pass,Pass,Pass,Log_11808,PO-0027,2022,1,5,1.0,1,1.0,3.0
Batch_48,JO_00048,2022-01-23 21:19:00,Operator_9,Offset Ink,PVC,41.0,1025.0,289.0,547.0,690.0,335.0,Match_Poor,Pass,Pass,Pass,Fail,2022-01-30 14:26:00,Operator_74,Type1,4.0,Chip_910153,Pass,Pass,Pass,GPRS,Key_3830,Serial_2442,ICCID_131689,Operator_146,Pass,Pass,Pass,Log_48661,PO-0028,2022,1,6,1.0,1,1.0,3.0
Batch_49,JO_00049,2022-01-24 09:00:00,Operator_26,Metallic Ink,PET,48.0,1410.0,1268.0,547.0,236.0,657.625,Match_Good,Pass,Pass,Pass,Pass,2022-01-28 05:00:00,Operator_87,Type3,4.0,Chip_912187,Pass,Pass,Pass,GSM,Key_7043,Serial_7323,ICCID_456297,Operator_106,Pass,Pass,Pass,Log_61378,PO-0029,2022,1,3,1.0,1,1.0,3.0
Batch_50,JO_00050,2022-01-24 20:42:00,Operator_2,Metallic Ink,PVC,44.0,1410.0,843.0,653.0,221.0,657.625,Match_Poor,Pass,Pass,Pass,Pass,2022-01-31 23:38:00,Operator_53,Type3,4.0,Chip_857305,Pass,Pass,Pass,GSM,Key_2548,Serial_4111,ICCID_138650,Operator_131,Pass,Pass,Pass,Log_79547,PO-0030,2022,1,7,1.0,1,1.0,3.0
Batch_51,JO_00051,2022-01-25 08:23:00,Operator_20,Offset Ink,Composite Materials,39.0,897.0,830.0,67.0,810.0,87.0,Match_Poor,Pass,Pass,Pass,Pass,2022-02-02 00:01:00,Operator_73,Type2,1.0,Chip_150206,Pass,Pass,Pass,GSM,Key_6410,Serial_5086,ICCID_231366,Operator_147,Pass,Pass,Pass,Log_80018,PO-0031,2022,1,7,1.0,1,1.0,3.0
Batch_52,JO_00052,2022-01-25 20:04:00,Operator_28,Metallic Ink,Composite Materials,26.0,572.0,292.0,280.0,300.0,272.0,Match_Poor,Pass,Pass,Pass,Pass,2022-01-31 13:26:00,Operator_84,Type3,0.0,Chip_614905,Pass,Pass,Pass,GSM,Key_7273,Serial_6209,ICCID_829809,Operator_132,Pass,Pass,Pass,Log_41755,PO-0032,2022,1,5,1.0,1,1.0,3.0
Batch_53,JO_00053,2022-01-26 07:45:00,Operator_47,Metallic Ink,PVC,38.0,874.0,822.0,52.0,522.0,352.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-28 19:19:00,Operator_59,Type1,0.0,Chip_285955,Pass,Pass,Pass,UMTS,Key_9000,Serial_1622,ICCID_153600,Operator_109,Pass,Pass,Pass,Log_24335,PO-0033,2022,1,2,1.0,1,1.0,3.0
Batch_54,JO_00054,2022-01-26 19:27:00,Operator_7,Metallic Ink,PVC,15.0,360.0,351.0,9.0,255.0,105.0,Match_Poor,Pass,Pass,Pass,Pass,2022-01-31 18:20:00,Operator_68,Type1,4.0,Chip_342303,Pass,Pass,Pass,GSM,Key_7568,Serial_7039,ICCID_412688,Operator_148,Pass,Pass,Pass,Log_25923,PO-0034,2022,1,4,1.0,1,1.0,3.0
Batch_55,JO_00055,2022-01-27 07:08:00,Operator_44,Offset Ink,PET,26.0,962.0,958.0,4.0,635.0,327.0,Match_Perfect,Pass,Fail,Pass,Pass,2022-02-05 12:13:00,Operator_52,Type3,3.0,Chip_718298,Pass,Pass,Pass,GPRS,Key_9669,Serial_6719,ICCID_985073,Operator_126,Pass,Pass,Pass,Log_66562,PO-0035,2022,1,9,1.0,1,1.0,3.0
Batch_56,JO_00056,2022-01-27 18:49:00,Operator_8,Metallic Ink,PET,26.0,754.0,426.0,328.0,616.0,138.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-04 17:00:00,Operator_72,Type3,3.0,Chip_139278,Pass,Pass,Pass,GSM,Key_6044,Serial_8122,ICCID_820499,Operator_106,Pass,Pass,Pass,Log_91796,PO-0036,2022,1,7,1.0,1,1.0,3.0
Batch_57,JO_00057,2022-01-28 06:30:00,Operator_47,Offset Ink,PET,23.0,621.0,611.0,10.0,520.0,101.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-31 11:58:00,Operator_85,Type3,2.0,Chip_913283,Pass,Fail,Pass,UMTS,Key_8309,Serial_3564,ICCID_708587,Operator_137,Pass,Pass,Pass,Log_97109,PO-0037,2022,1,3,1.0,1,1.0,3.0
Batch_58,JO_00058,2022-01-28 18:12:00,Operator_35,Offset Ink,Composite Materials,33.0,1023.0,1006.0,17.0,520.0,503.0,Match_Good,Pass,Pass,Pass,Pass,2022-02-05 12:15:00,Operator_81,Type3,3.0,Chip_726803,Pass,Fail,Pass,umts,Key_1743,Serial_1387,ICCID_288888,Operator_143,Pass,Pass,Pass,Log_67149,PO-0038,2022,1,7,1.0,1,1.0,3.0
Batch_59,JO_00059,2022-01-29 05:53:00,Operator_14,UV Ink,Composite Materials,46.0,1012.0,926.0,86.0,595.0,417.0,Match_Good,Pass,Pass,Pass,Pass,2022-01-31 08:44:00,Operator_76,Type2,4.0,Chip_931946,Pass,Pass,Pass,GPRS,Key_8654,Serial_1476,ICCID_641503,Operator_134,Pass,Pass,Pass,Log_72771,PO-0039,2022,1,2,1.0,1,1.0,3.0
Batch_60,JO_00060,2022-01-29 17:34:00,Operator_17,UV Ink,Composite Materials,49.0,1410.0,767.0,1046.0,1028.0,657.625,Match_Fair,Pass,Pass,Pass,Pass,2022-02-02 15:23:00,Operator_64,Type2,2.0,Chip_218283,Pass,Pass,Pass,GPRS,Key_6160,Serial_9328,ICCID_469256,Operator_140,Pass,Pass,Pass,Log_32847,PO-0040,2022,1,3,1.0,1,1.0,3.0
Batch_61,JO_00061,2022-01-30 05:16:00,Operator_36,Metallic Ink,Composite Materials,48.0,1296.0,960.0,336.0,361.0,657.625,Match_Perfect,Pass,Pass,Pass,Pass,2022-02-03 08:58:00,Operator_95,Type2,4.0,Chip_695244,Pass,Pass,Pass,GPRS,Key_1829,Serial_2654,ICCID_460692,Operator_121,Pass,Pass,Pass,Log_78975,PO-0041,2022,1,4,1.0,1,1.0,3.0
